question,answer,category
What is on the menu?,Our menu includes Bruschetta and Soup of the Day as starters. Main course options are Grilled Salmon, Pasta Alfredo and BBQ Ribs. Desserts include Tiramisu and Cheesecake.,Menu
What food do you serve?,We serve a variety of dishes including grilled meats, fresh pastas, seafood and vegetarian options. Ask our staff for daily specials.,Menu
Do you have vegetarian options?,Yes. We have several vegetarian dishes including Pasta Primavera, Margherita Pizza, and Garden Salad.,Menu
What desserts are available?,Our desserts include Tiramisu, Chocolate Lava Cake, Cheesecake and seasonal Fruit Tart.,Menu
What drinks do you offer?,We offer Fresh Juices, Mocktails, Coffee, Tea, Soft Drinks and a selection of Milkshakes.,Menu
Do you have a kids menu?,Yes. We have a special kids menu with smaller portions of Pasta, Mini Burgers and Nuggets with a free juice.,Menu
What are your opening hours?,We are open Monday to Thursday from 12 PM to 10 PM. Friday and Saturday from 12 PM to 11:30 PM and Sunday from 1 PM to 9 PM.,Timings
What time do you open?,The restaurant opens at 12:00 PM on weekdays and 1:00 PM on Sundays.,Timings
What time do you close?,We close at 10 PM on weekdays and 11:30 PM on Friday and Saturday nights.,Timings
Are you open on public holidays?,Yes. We remain open on public holidays with special hours. Check our website or call for specific holiday timings.,Timings
How do I make a reservation?,Call us at +92-300-1234567 or book through our website. We recommend booking at least 2 hours in advance on weekends.,Reservation
Can I book a table online?,Yes. You can make an online reservation through our website or WhatsApp us at +92-311-9876543.,Reservation
How far in advance should I book?,For weekdays you can book same day. For weekends we recommend booking at least 24 hours in advance.,Reservation
Can I book for a large group?,Yes. We accommodate groups of up to 50 people. Please call us directly for group reservations and special arrangements.,Reservation
Is there a cancellation policy?,Please cancel at least 2 hours before your reservation time. Late cancellations during peak hours may incur a small charge.,Reservation
Where is the restaurant located?,We are located at 12 Gulberg III Main Boulevard Lahore. Easily accessible via ride-share apps with free parking available on site.,Location
How do I get to Bella Vista?,Take the main boulevard towards Gulberg III. We are opposite the central park next to the city bank branch.,Location
Is there parking available?,Yes. We have free parking for up to 40 vehicles. Valet parking is also available on weekends.,Location
Is the restaurant accessible by public transport?,Yes. Multiple bus stops and rickshaw stands are within a 5 minute walk from our restaurant.,Location
Do you offer home delivery?,Yes. We deliver within a 10 km radius of our restaurant. Order by calling +92-311-9876543 or through our website.,Delivery
How long does delivery take?,Standard delivery time is 30 to 45 minutes depending on your location and order size.,Delivery
What is the minimum order for delivery?,The minimum order amount for home delivery is Rs. 800.,Delivery
Is there a delivery charge?,Delivery is free for orders above Rs. 1500. A charge of Rs. 100 applies for orders below that amount.,Delivery
What are today's specials?,Today we have a Lunch Deal from 12 to 3 PM with a Main plus Drink for Rs. 999 and a Family Combo of 4 Mains and 2 Desserts for Rs. 3500.,Specials
Do you have any discounts?,Yes. We have a Happy Hour from 5 to 7 PM with 20 percent off all beverages. Senior citizens get 10 percent off any time.,Specials
Is there a loyalty program?,Yes. Join our Bella Rewards program to earn points on every visit. Redeem points for free meals and discounts.,Specials
Do you offer student discounts?,Yes. Students with a valid university ID card get 10 percent off on weekday lunches.,Specials
What is the price range for starters?,Starters are priced between Rs. 300 and Rs. 600.,Prices
What does a main course cost?,Main courses range from Rs. 700 to Rs. 1800 depending on the dish.,Prices
How much are the desserts?,Desserts are priced between Rs. 250 and Rs. 500.,Prices
What is the average bill for two people?,A comfortable meal for two with starters mains and drinks typically costs between Rs. 2500 and Rs. 4000.,Prices
Do you have free WiFi?,Yes. We offer free high-speed WiFi to all dine-in guests. Ask the staff for the password upon seating.,Facilities
Is there a private dining area?,Yes. We have a private dining room for up to 20 guests perfect for corporate dinners and private celebrations.,Facilities
Do you host events?,Yes. We host birthday parties anniversaries and corporate events. Contact us at events@bellavista.com for packages.,Facilities
Is there outdoor seating?,Yes. We have a beautiful outdoor terrace with 15 tables. It is available weather permitting from March to October.,Facilities
How do I contact you?,Call us at +92-300-1234567 or email info@bellavista.com. Our team is available during restaurant hours.,Contact
What is your WhatsApp number?,Our WhatsApp number for orders and queries is +92-311-9876543. We reply during business hours.,Contact
